wlBest Fit  Median  -1 Sig  +1 Sig  -2 Sig  +2 sig  
       1.9425019     0.025483894     0.025490343     0.025472756     0.025507365     0.025455734     0.025517817
       1.9417476     0.025485295     0.025491591     0.025473965     0.025508538     0.025456818     0.025519192
       1.9409938     0.025482606     0.025490295     0.025472936     0.025507027     0.025456090     0.025517828
       1.9402406     0.025481608     0.025489999     0.025472596     0.025506385     0.025455744     0.025516981
       1.9394880     0.025482303     0.025490443     0.025472754     0.025506907     0.025455676     0.025517300
       1.9387359     0.025486212     0.025493177     0.025475296     0.025509757     0.025458205     0.025519961
       1.9379845     0.025491485     0.025496560     0.025478516     0.025513230     0.025462152     0.025524674
       1.9372336     0.025492439     0.025497491     0.025479609     0.025514316     0.025463273     0.025525524
       1.9364833     0.025493603     0.025498542     0.025480485     0.025515518     0.025464582     0.025527214
       1.9357336     0.025500950     0.025502969     0.025484223     0.025520835     0.025469616     0.025532369
       1.9349845     0.025505929     0.025505758     0.025486766     0.025523732     0.025472718     0.025535843
       1.9342360     0.025505230     0.025505200     0.025486214     0.025523427     0.025472503     0.025535504
       1.9334880     0.025504460     0.025504766     0.025485820     0.025522495     0.025472228     0.025534969
       1.9327406     0.025503614     0.025504230     0.025485439     0.025522040     0.025471654     0.025534255
       1.9319938     0.025501874     0.025503443     0.025484681     0.025521822     0.025470489     0.025533101
       1.9312476     0.025499706     0.025502188     0.025483865     0.025520087     0.025470229     0.025532280
       1.9305019     0.025498111     0.025501497     0.025483598     0.025519015     0.025469120     0.025530830
       1.9297569     0.025496523     0.025500505     0.025482709     0.025518261     0.025468475     0.025529848
       1.9290123     0.025493253     0.025498300     0.025480945     0.025516350     0.025466865     0.025526757
       1.9282684     0.025490567     0.025496572     0.025479450     0.025514408     0.025464742     0.025524642
       1.9275251     0.025489821     0.025496139     0.025479081     0.025514048     0.025463309     0.025524193
       1.9267823     0.025488816     0.025495471     0.025478413     0.025513050     0.025462600     0.025523674
       1.9260401     0.025487439     0.025494367     0.025477328     0.025511912     0.025460972     0.025522691
       1.9252984     0.025486814     0.025493786     0.025476572     0.025511432     0.025460102     0.025522287
       1.9245574     0.025486715     0.025493873     0.025476612     0.025511313     0.025459817     0.025522326
       1.9238169     0.025487046     0.025494155     0.025476713     0.025511566     0.025459764     0.025522446
       1.9230769     0.025487511     0.025494531     0.025476889     0.025511890     0.025459834     0.025522565
       1.9223376     0.025488496     0.025495451     0.025477532     0.025512684     0.025460810     0.025523129
       1.9215988     0.025489272     0.025496078     0.025478284     0.025513333     0.025461618     0.025523734
       1.9208605     0.025487936     0.025495351     0.025477267     0.025512495     0.025460263     0.025522748
       1.9201229     0.025486120     0.025494152     0.025476092     0.025511346     0.025458795     0.025521257
       1.9193858     0.025483007     0.025492184     0.025474077     0.025509060     0.025456403     0.025518534
       1.9186493     0.025482294     0.025491821     0.025473524     0.025508450     0.025455767     0.025517796
       1.9179133     0.025484700     0.025493514     0.025475192     0.025510250     0.025457581     0.025520011
       1.9171779     0.025486622     0.025495112     0.025476750     0.025511747     0.025459461     0.025521821
       1.9164431     0.025488217     0.025496409     0.025477999     0.025512771     0.025460795     0.025523340
       1.9157088     0.025485562     0.025494556     0.025475897     0.025510801     0.025458299     0.025520713
       1.9149751     0.025481534     0.025491809     0.025473369     0.025507438     0.025456122     0.025517511
       1.9142420     0.025479045     0.025490200     0.025471596     0.025505800     0.025453376     0.025515578
       1.9135094     0.025476379     0.025488797     0.025469411     0.025504316     0.025450066     0.025513646
       1.9127774     0.025469089     0.025484678     0.025464800     0.025500535     0.025443937     0.025509772
       1.9120459     0.025464191     0.025482323     0.025461260     0.025497874     0.025439480     0.025506224
       1.9113150     0.025467899     0.025485036     0.025464105     0.025500393     0.025442336     0.025509191
       1.9105846     0.025472625     0.025488259     0.025468161     0.025503880     0.025446811     0.025512493
       1.9098549     0.025479115     0.025493323     0.025473264     0.025508859     0.025452551     0.025517661
       1.9091256     0.025482149     0.025495431     0.025476246     0.025511112     0.025455227     0.025519936
       1.9083969     0.025481892     0.025495126     0.025476258     0.025510459     0.025456640     0.025519756
       1.9076688     0.025482900     0.025495267     0.025476784     0.025510843     0.025457812     0.025519956
       1.9069413     0.025484574     0.025495731     0.025477030     0.025511242     0.025459315     0.025520739
       1.9062143     0.025484615     0.025495724     0.025477107     0.025511092     0.025459213     0.025520648
       1.9054878     0.025484239     0.025495234     0.025476884     0.025510887     0.025458831     0.025520323
       1.9047619     0.025483272     0.025494515     0.025476359     0.025510181     0.025458525     0.025519636
       1.9040366     0.025482295     0.025493828     0.025475772     0.025509396     0.025457851     0.025518969
       1.9033118     0.025481731     0.025493336     0.025475345     0.025508862     0.025457399     0.025518414
       1.9025875     0.025481278     0.025492890     0.025475047     0.025508541     0.025457109     0.025518086
       1.9018638     0.025481265     0.025492989     0.025474979     0.025508660     0.025457038     0.025518162
       1.9011407     0.025481250     0.025492962     0.025475096     0.025508712     0.025457069     0.025518115
       1.9004181     0.025481229     0.025492719     0.025474916     0.025508441     0.025457342     0.025517882
       1.8996960     0.025480749     0.025492077     0.025474520     0.025507918     0.025457548     0.025517407
       1.8989746     0.025479729     0.025491137     0.025473640     0.025506962     0.025456766     0.025516451
       1.8982536     0.025479892     0.025491283     0.025473445     0.025506829     0.025457050     0.025516425
       1.8975332     0.025480893     0.025491961     0.025473865     0.025507238     0.025457738     0.025516761
       1.8968134     0.025481307     0.025492050     0.025474221     0.025507334     0.025457470     0.025516827
       1.8960940     0.025481479     0.025492018     0.025474339     0.025507307     0.025457527     0.025516721
       1.8953753     0.025480073     0.025491084     0.025473010     0.025506192     0.025456285     0.025515777
       1.8946571     0.025478338     0.025489672     0.025471831     0.025504901     0.025455242     0.025514170
       1.8939394     0.025476947     0.025488336     0.025470717     0.025503569     0.025454651     0.025513189
